branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
16412,2226,9104,24207,35906,302705,73757,1137750,3330,19440,12177,0,0,0,0,0,0,0,0,0,1
82688,9033,30851,97028,156213,1382134,419156,3856125,13239,114889,68598,0,0,0,0,0,0,0,0,0,1
30546,4178,17410,54165,69385,579058,143610,2176500,5846,37892,24219,0,0,0,0,0,0,0,0,0,1
16498,2170,5939,25977,34042,452751,74234,742500,3225,19660,12340,0,0,0,0,0,0,0,0,0,1
6901471716,31296913,115973977,1292239,126743651,21893201081,30380716654,14494250209,282098361,7944751627,5133446929,460856220,11439357,19196045,31320216,26004,8041376793,4156,5195151773,19478846,1
4696932,94236,704673,307798,1138665,23719316,30472853,88563250,589045,8532752,4955523,2377612,81019,48763,91372,3503,0,0,0,0,1
29752,2943,10602,32618,50477,516526,144260,1325125,4786,39753,24319,0,0,0,0,0,0,0,0,0,1
6868379319,37300507,115503193,871969,119609116,21999008227,30470765426,14423147922,284550357,7969829550,5127979779,494924339,10342091,23878950,37203429,28299,7986005305,8466,5142998731,25579963,1
4945406,101569,731579,376392,1202605,25098164,31662107,93278375,647095,8819632,5110370,2511588,87212,53348,94068,0,0,0,0,0,1
5332242,94621,745112,320359,1337142,26757998,33365964,93023750,696621,9293684,5370511,2893614,130800,89117,171012,0,0,0,0,0,1
30283,4191,16248,54415,67946,636935,141707,2030750,5763,37580,23538,0,0,0,0,0,0,0,0,0,1
12762083767,106716830,227185240,76995,545749946,42299790566,57988920573,28414371669,124635891,16841266669,10304247816,1811316,36769171,128116667,106818895,47342,16834569619,1334,10304481022,74061162,1
46682,5675,18003,49759,87551,754594,212364,2250125,7632,55781,35759,0,0,0,0,0,0,0,0,0,1
30957,3062,9252,31731,51020,619077,149709,1156625,5117,41314,24875,0,0,0,0,0,0,0,0,0,1
16910,2154,9912,26860,34291,329603,76387,1238500,3426,20286,12770,0,0,0,0,0,0,0,0,0,1
65417,5752,25840,71182,96238,859371,288295,3230250,10520,78741,46718,47683,0,0,0,0,0,0,0,0,1
16294,2247,9397,27521,34717,312481,72921,1174375,3178,19338,12113,0,0,0,0,0,0,0,0,0,1
6947413310,36510910,115999049,1820495,165641562,21839142553,30456276610,14483906267,281401259,7968710691,5168830562,461761738,13718309,24302137,36635420,18117,8061310453,2883,5231173549,24831275,1
32426,4295,12800,50877,68775,736585,150612,1600000,5897,39734,24418,0,0,0,0,0,0,0,0,0,1
