L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
5567200,342938,4964738,707428,1025522,14016,9217462,350531,73653,5244484,5244484,244688,242838,303982,57910154,148687,9467653,21717,30020585,0
8635970,449442,5342442,836580,989704,16066,7714820,349472,80567,5918982,5918982,267027,275036,314765,63120587,165509,9557775,31272,29839998,0
6599636,399550,5647889,674882,776562,11578,7562970,219514,73685,7645087,7645087,233882,235786,308847,62595957,140587,13545224,28661,52224813,0
12859485,582017,9944771,1453170,1988839,33430,13128616,892655,137603,13233082,13233082,528260,838476,512832,259305154,377576,19583216,54038,71169884,0
33873105,892017,41981256,2247356,1923986,35046,20069204,522769,120800,8710561,8710561,377900,396361,430244,97316598,205264,16417543,45309,61032367,0
4896238,339616,4867134,647884,957513,15123,9437229,417906,74820,5273632,5273632,248471,270333,296463,70430516,155097,9668428,22707,30361885,0
5328696,417157,5770209,660025,1216222,19061,7955029,449051,82297,5917661,5917661,272912,278892,315148,67175646,167463,9422829,19699,29908859,0
15140126,414307,23487789,953496,1065149,15141,7337544,393834,70216,5619165,5619165,234877,243276,294611,61432655,136931,9700714,22027,37511902,0
17293935,625465,15192455,1906292,1687072,25547,20836748,651957,140912,13721568,13721568,571406,831809,527558,259386572,385613,21264707,61967,79017862,0
1006031922,26518201,978579304,62096350,181383479,3246500,5648161692,107961553,1505677,174182276,173384301,4053650,6401881,2200285,1471298182,1845552,4382997842,9701075,14039423125,0
343229004,12855914,364446731,29922653,42404456,643987,789709583,32649157,74899,5866241,5866241,253749,258319,322941,69340943,147679,539508606,1283228,1461838202,0
443790480,13544516,431683763,33345691,45956596,735643,691030951,29940176,80774,5850032,5850032,268182,263688,321314,64347759,159314,541950191,1382815,1461749398,0
360643240,12549115,392207850,31797809,40294455,620065,433567071,22693723,70409,5499043,5499043,228057,225347,304151,61662608,127967,558649263,1454586,1515101435,0
350624011,12860080,360294654,30958832,37223984,657769,652140994,25379952,165737,15336832,15417529,603793,890965,587676,266157511,373287,354969900,1516090,1037106451,0
294278013,5136415,286211152,13290586,16715270,351704,529260624,11780147,1034815,227427993,227386613,11411354,13466073,868408,1445442070,1236111,465802780,774901,1519854149,0
6997572,393807,4872428,817563,980151,16016,8687995,473538,75863,5259510,5259510,248260,244979,246576,57105599,149374,8838511,22496,28622684,0
5843629,479215,8353238,807151,1054447,19346,7824751,437699,82633,5895513,5895513,276730,270182,298981,62089217,161809,9376373,23711,29864855,0
18042241,618530,13261156,1467301,914292,17517,13679601,483681,71854,5564607,5564607,226894,232699,272701,63562146,132190,9737061,17660,37609221,0
15182005,729730,14684087,1776094,2174575,35799,23704799,966362,191597,16424562,16424562,628883,836415,517236,256568309,361191,24278203,77797,86868701,0
509124172,8033184,528295502,26572765,19780011,507721,332478396,13025553,1639316,495418026,495373257,12955655,12674399,1634876,2312109906,2915033,746076346,2527444,2308327805,0
26053713,834492,26330083,3381037,2081163,33998,65709805,1702008,110089,31730868,31730616,1023145,992515,357704,256899045,388518,62540471,324974,136539218,0
23978952,701513,20267954,3052120,1713569,28678,39038702,1145391,115310,28870047,28870047,940100,951616,350010,235981261,382378,57220435,291935,126687339,0
24106370,793531,26023538,3117786,1939434,29975,49271927,1376372,101307,28699599,28699599,886918,969310,333018,239788657,349375,57154370,273752,133074667,0
29551649,919781,28762679,3851908,4227290,57463,86464067,2688800,174992,36795523,36795523,1183664,1554399,510887,431173548,584984,67096131,312114,167629897,0
1062106533,3711473,997447605,24761451,19566219,1344891,2038994926,16221457,832218,161923288,161851791,6175014,6549453,1407983,1049580101,1478574,1592230294,957193,5092680255,0
15252164,642334,16840016,1800267,2075672,31503,28154771,1030657,67669,4373287,4373287,215334,241652,288756,62407241,149243,17494986,51865,61288413,0
7366726,389735,5735005,933481,1674459,27418,18998093,1201255,72288,4969061,4969061,239447,279848,301314,72400017,180339,19310044,61822,66567776,0
4918449,345453,7584418,725242,1121022,18149,6799378,500094,64627,4461488,4461488,208405,255076,280674,62842942,139668,8908568,22890,34749015,0
15258206,726438,13625960,1339452,2719968,25708,30860868,1868440,319596,59760026,59757361,920740,587885,376595,137704666,274071,75686578,124209,265666895,0
338079627,15112886,320033339,40840183,38294901,589732,338781276,15475085,495236,58283144,58135042,1878153,4049835,455093,527055666,773504,576152311,1597772,2052424127,0
