branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
3283,473,1943,4219,7115,61941,14563,232750,618,3872,2422,4320,333,30,451,73,3883,6,2432,134,0
3304,433,1950,6593,7113,61988,14570,232875,650,4317,2654,3384,323,35,451,68,3889,6,2437,107,0
3288,455,1858,5433,6922,61720,14551,231875,606,3878,2427,4456,307,38,461,73,3861,4,2421,132,0
3262,457,1851,5482,7295,62991,14551,236750,574,3924,2461,3247,329,61,458,80,3861,5,2421,146,0
3258,444,1765,4010,7063,76657,14558,157625,590,3862,2416,4534,310,34,462,71,3861,10,2420,108,0
3316,448,815,4630,6960,56550,14558,212625,570,3864,2419,3941,336,36,447,82,3870,6,2425,98,0
3244,447,1729,4141,7013,78534,14618,147125,615,3856,2418,4264,327,30,471,75,3867,4,2419,105,0
3276,462,1871,5597,7326,60689,14724,228250,624,3868,2423,3734,318,55,461,69,3866,6,2419,108,0
3273,461,1965,4164,6175,57344,14606,215625,620,3889,2436,4421,317,39,460,71,3920,6,2458,143,0
4795,639,2290,3945,7209,59571,14607,224000,553,3870,2424,3721,310,31,390,72,3886,5,2432,106,0
3965,567,2303,5955,7135,91761,14774,161750,644,4434,2812,3940,315,38,451,72,3971,8,2491,115,0
3298,460,1850,5236,7062,62761,14578,235875,63279,1284389,676868,102748,334,58,383,80,3893,8,2437,68,0
3252,460,1711,4344,6890,55524,14584,208875,566,3860,2422,4004,294,35,382,73,3880,4,2439,92,0
3262,359,1758,5320,6426,59351,14804,223125,602,3917,2451,4334,322,39,391,71,3894,6,2440,99,0
3320,392,1925,5232,7369,77167,14519,144500,591,3876,2422,4004,314,34,451,71,3870,4,2424,124,0
3274,393,906,4198,7434,79463,14742,146375,687,4431,2797,5795,333,75,454,68,3866,5,2416,99,0
3253,455,1790,5130,6224,54988,14576,206625,562,3860,2416,4423,329,34,439,80,3877,3,2431,131,0
3282,429,1094,3284,7331,61647,14577,231875,685,4857,3100,4867,312,30,448,71,3872,7,2426,111,0
3289,457,1997,6633,6322,56264,14789,211375,993,7773,4514,5224,310,29,454,71,3871,4,2424,101,0
3310,462,1809,4674,7015,56798,14733,213500,576,3868,2421,4558,309,27,458,72,4189,4,2651,111,0
3268,382,1751,5237,7193,74382,14780,140750,601,3916,2453,4455,296,39,400,76,3857,4,2416,142,0
3260,460,1830,5242,7146,59617,14760,224000,596,3859,2423,4983,317,35,458,69,3867,7,2423,101,0
10523,841,3493,4553,7239,61430,14590,230875,613,3905,2450,4598,291,27,448,75,3853,5,2415,100,0
3256,449,1303,5699,6135,54109,14626,203375,560,3890,2435,3975,320,30,453,73,3870,3,2425,150,0
3473,403,1553,3731,7413,63105,14608,237125,570,4225,2673,4087,315,36,468,70,3874,6,2422,141,0
3268,456,1869,4668,6275,56362,14605,211875,564,3868,2421,3910,312,32,403,69,4209,4,2667,71,0
3294,464,1898,5434,5954,56530,14558,212500,563,4235,2683,4381,316,43,455,77,3920,3,2456,133,0
4667,489,2154,4467,8028,67799,18271,254750,577,3865,2421,4509,302,28,459,73,3888,5,2432,141,0
3278,403,1693,4211,7305,63124,14945,237250,596,3898,2447,4113,321,26,403,69,4466,8,2835,119,0
3290,397,1689,4242,7210,61994,14556,233125,605,3876,2424,4694,349,44,543,70,3867,4,2419,153,0
3257,394,1898,4058,7123,64454,14965,242250,606,3922,2457,3972,335,62,454,74,3873,5,2429,107,0
3248,454,1834,5411,6658,85549,14637,85000,591,3886,2432,4522,24714,19056,38044,2206,3862,8,2416,148,0
3252,456,1932,6589,7352,63871,14776,240125,564,3895,2437,4282,352,46,478,73,3860,3,2416,147,0
3261,455,1856,5304,7290,67135,14588,203375,592,3890,2435,4699,338,48,403,63,4484,9,2832,142,0
3681,430,1933,4582,7047,58323,14556,219125,578,3869,2421,4507,315,34,355,65,4408,8,2778,153,0
3272,456,1890,4520,7159,104581,14556,195375,603,3903,2445,4348,318,49,449,76,3894,6,2440,102,0
3263,444,1801,4406,7220,61611,14730,231500,611,3886,2439,4526,322,33,475,71,3862,7,2416,78,0
3260,459,1845,4402,7467,58644,14735,220500,601,3869,2421,4568,317,42,410,74,4488,5,2841,147,0
3266,442,589,3803,276001,5582772,4786158,3989500,606,4196,2654,4320,935,250,1243,217,3855,6,2418,104,0
3272,470,1861,5209,9789,90374,29464,339875,587,3875,2425,4073,293,41,355,63,3888,5,2433,108,0
3298,361,1635,4192,6416,57708,14554,216875,594,3866,2421,4390,320,34,462,74,3869,9,2424,146,0
3262,453,1784,4350,6881,60720,14565,228250,582,3868,2424,4881,314,42,452,82,3859,7,2420,112,0
3255,447,1823,4247,7172,62111,14959,233500,587,3894,2440,4459,322,27,450,75,3861,5,2422,102,0
3260,456,1815,4234,7062,63308,14587,238000,630,3889,2440,4351,323,44,453,73,3883,6,2431,71,0
3250,441,1303,4225,7211,61113,14729,229625,606,3888,2432,4787,26857,19173,37769,2310,3862,4,2416,178,0
3313,444,1544,5256,7394,57024,14735,214375,551,3882,2432,3845,300,40,474,75,3908,5,2448,97,0
3267,457,1843,5348,7112,61887,14782,232625,592,3874,2432,4179,318,32,451,75,3874,9,2422,122,0
4328,519,2175,5143,6977,63250,15000,237625,593,3877,2426,4508,327,34,456,74,3862,5,2416,109,0
3260,346,889,5572,7229,60581,14821,227625,589,3874,2425,3753,314,31,445,75,3921,7,2457,146,0
3268,381,1784,4455,6947,60435,14547,227250,577,3872,2424,3962,20020,11609,22717,1233,3886,8,2432,111,0
3246,462,1856,5402,7018,61920,14749,232875,624,3883,2433,4536,300,40,458,73,3875,5,2424,99,0
3278,453,1109,3496,7330,65239,14553,245125,607,3877,2429,4559,317,47,389,76,3873,7,2422,105,0
3248,448,1880,5626,7193,62898,14560,236375,83083,1615641,889184,171074,313,30,445,75,3890,5,2435,78,0
3250,393,1751,4408,7335,64529,14742,242625,609,3871,2424,4232,303,38,386,75,3865,5,2421,107,0
4156102,37763,77513,99644,6572,57233,14558,215125,82266,1550347,849417,171754,310,34,449,71,3873,4,2422,112,0
3311,382,1647,3731,7378,59099,14776,222250,576,3870,2424,4420,319,60,437,68,1254741,465,660057,1981,0
3264,465,1727,3988,6986,61485,14556,231125,65691,1242698,650047,114076,325,50,386,68,3850,8,2420,138,0
4092,582,2032,5328,7417,55753,14922,209625,558,3858,2416,4329,319,39,465,72,3862,5,2416,172,0
3252,339,911,5022,7906,69329,16571,260625,600,3869,2421,4349,327,28,454,73,3871,4,2424,103,0
3259,447,1885,5423,8747,73040,17154,274500,597,3867,2419,4466,315,28,454,69,3883,5,2436,117,0
3310,467,1898,5485,7041,79659,14599,134625,557,3864,2421,4270,319,34,475,77,3901,5,2447,79,0
3250,448,1858,5350,7898,65172,16881,245000,554,3886,2432,4334,321,34,465,70,3870,6,2422,165,0
3647,505,1890,4015,7202,69331,14778,184750,601,3853,2415,4776,301,50,468,64,3897,6,2438,109,0
3252,450,1804,4365,6958,60708,14558,228250,589,3860,2423,4924,326,44,448,73,3860,5,2416,105,0
3262,400,1700,3983,6997,56525,14577,212500,610,3888,2435,4379,329,28,437,71,3897,6,2438,102,0
3264,453,1881,5414,7151,66279,14551,249125,705,4481,2835,4270,332,39,458,78,3884,6,2432,197,0
3665,521,1903,3920,7274,62306,14584,234125,581,3916,2456,4506,334,38,459,73,3868,6,2419,109,0
3269,457,1755,4148,6991,57828,14960,217375,593,3871,2424,4097,322,36,443,73,3878,7,2429,109,0
18192,2018,3018,4843,6842,58933,14583,221500,606,3899,2440,4498,4453,1634,5772,211,4415,5,2780,145,0
7405341,48196,127027,90777,6806,55811,14549,209875,597,3894,2435,3315,325,47,447,68,3867,4,2419,111,0
3302,468,1874,5339,7024,66155,14945,248500,591,3879,2433,3872,311,32,452,70,3886,5,2432,108,0
3262,444,1950,6573,7209,58403,14628,219500,591,3862,2416,4669,359,37,546,75,3910,7,2448,112,0
3259,385,1708,3966,7326,63622,14780,239125,720,4937,3054,5649,341,54,547,75,3882,6,2432,97,0
3252,446,1967,5184,7325,59862,14637,224875,608,3860,2416,3909,318,39,395,90,3864,6,2417,103,0
3262,453,1849,5457,7034,81809,14574,142250,614,3912,2453,4400,306,26,451,67,3892,4,2437,93,0
3304,444,1852,4325,7110,63406,14738,238375,578,3888,2432,4504,341,35,466,77,3884,5,2434,104,0
3303,417,1760,4410,7087,57458,14793,216000,73234,1394309,746671,129066,332,59,478,74,5544,8,3257,117,0
3290,451,1090,3062,7013,62605,14553,235375,705,4984,3097,4745,348,52,447,71,3886,6,2432,101,0
3266,453,1859,5780,7321,63385,14587,238250,615,3888,2432,4427,322,43,459,77,3886,5,2432,143,0
3286,460,1764,4483,7081,63781,14594,239625,579,3900,2445,3903,323,28,403,74,3867,5,2419,100,0
3289,468,2005,5749,8044,80196,19286,223000,551,3871,2421,3805,320,40,382,75,1314431,495,692914,1432,0
3264,392,1712,4369,7426,60543,14785,227500,607,3864,2416,4378,310,32,394,71,3865,5,2419,106,0
3290,468,1800,4207,5386,51523,14740,193625,586,3894,2440,3862,297,34,449,69,3900,6,2447,135,0
3273,450,1847,5377,7184,75289,14594,283000,583,3901,2445,4115,314,40,465,71,3921,6,2454,103,0
3265,463,2014,5311,7545,63992,14568,240500,591,3900,2440,4680,311,31,457,66,3886,4,2432,117,0
3253,457,1692,3811,6391,61784,14810,232250,605,3870,2424,4539,310,43,401,69,3864,7,2417,112,0
3257,397,1722,4076,7013,61455,14582,231000,632,3861,2423,4536,329,34,466,67,3886,5,2432,101,0
3252,461,1803,5209,7138,58164,14599,218750,604,3860,2422,4935,315,46,453,71,3903,6,2445,109,0
3270,465,1179,3697,7224,65424,14731,245875,609,3873,2431,4918,25208,18663,37434,2213,3874,6,2425,118,0
3264,458,1680,3683,7131,62964,14981,236625,614,3866,2419,4439,329,78,382,70,3877,5,2429,123,0
3278,449,1912,5531,6668,58064,14584,218250,558,3876,2426,3955,319,35,462,72,4981,9,3087,129,0
3280,456,2138,6990,6270,56657,14546,212875,569,3917,2451,4083,307,34,453,71,3865,7,2419,111,0
3248,459,1773,4394,7235,63113,14769,237250,585,3851,2415,3526,320,34,455,76,3925,9,2465,102,0
3252,445,1773,4593,7301,59806,14806,224750,583,3862,2416,4292,309,46,463,71,3868,5,2424,107,0
3629,491,1973,4643,6153,54115,14571,203500,695,4416,2791,4728,301,32,462,67,3870,3,2424,147,0
3928,459,1932,4095,7460,65567,14525,155250,611,3892,2437,4594,405,58,463,76,3865,8,2419,72,0
3287,460,1855,4800,6213,55851,14588,209875,588,3886,2432,4281,296,37,373,65,5256,8,3304,142,0
3257,431,1671,4276,7428,61318,14762,230500,595,3926,2458,4116,321,35,449,73,3862,7,2416,110,0
3287,476,2019,5290,6660,57533,14953,216250,597,3872,2429,4470,297,57,437,73,3865,6,2419,104,0
3249,347,1109,3432,7665,57410,14580,215750,602,3860,2418,5225,299,28,447,72,3862,4,2416,111,0
3251,451,1919,4281,6712,70581,14528,265250,592,3873,2422,4389,322,29,443,76,3868,6,2424,91,0
3271,435,1250,5453,7164,59119,14830,222125,682,4763,3032,4891,330,39,444,97,3871,5,2424,110,0
